Ticker;Nome;Setor;Adm;Cotacao;MM200Delta;Vol;DY12m;P_VP;VALOR_EM_CAIXA;PB_Anos
BTAL11;Btg Pactual Agro Logística;Imoveis Industriais E Logisticos;BTG PACTUAL;103,98;NA;0,1;0,15;1,0;77,83;666,7
SJAU11;SJ AU Logística;Imoveis Industriais E Logisticos;VORTX DISTRIBUIDORA;25400;NA;0,1;0;1,2;0,63;Inf
BLMG11;Bluemacaw Logística;Imoveis Industriais E Logisticos;VORTX DISTRIBUIDORA;104,4;NA;0,0;0,69;1,1;0,86;144,9
HOSI11;Housi;Imoveis Residenciais;VORTX DISTRIBUIDORA;82,97;104,4;0,0;4,05;0,9;12,57;24,7
JFLL11;JFL Living;Imoveis Residenciais;PLURAL S.A.;92,5;NA;0,0;0,74;1,0;2,00;135,1
CARE11;Brazilian GraveyardDeath Care;Indefinido;PLANNER TRUSTEE;0,55;72,8;0,0;2,28;0,4;0,31;43,9
QAGR11;Quasar Agro;Indefinido;BTG PACTUAL;52,22;107,0;0,1;7,86;0,9;0,54;12,7
XPPR11;XP Properties;Indefinido;VORTX DISTRIBUIDORA;72,25;91,4;0,2;10,74;0,8;5,09;9,3
TORD11;TORDESILHAS EI;Indefinido;VORTX DISTRIBUIDORA;11,46;120,0;0,0;10,51;1,1;0,17;9,5
RZTR11;Riza Terrax;Indefinido;PLURAL S.A.;101,54;NA;0,2;3,14;1,1;4,37;31,8
OURE11;Ourinvest Renda Estruturada;Indefinido;BANCO OURINVEST;88,73;NA;0,0;8,61;0,9;9,85;11,6
IFID11;IF;Indefinido;INTER DISTRIBUIDORA;99,49;NA;0,0;0;1,0;34,19;Inf
VGHF11;Valora Hedge Fund;Indefinido;NA;10,01;NA;0,0;0;NA;NA;Inf
BRCR11;BTG Pactual Corporate Office Fund;Lajes Corporativas;BTG PACTUAL;81,55;94,5;0,4;6,85;0,8;0,80;14,6
CTXT11;Centro Têxtil Internacional;Lajes Corporativas;RIO BRAVO;29,93;68,4;0,0;12,31;0,6;0,72;8,1
FLMA11;Continental Square Faria Lima;Lajes Corporativas;BR-CAPITAL DTVM;2,77;92,3;0,0;3,46;0,9;2,17;28,9
FMOF11;Memorial Office;Lajes Corporativas;COINVALORES CCVM;71,9;85,7;0,0;2,39;0,5;1,36;41,8
FPAB11;Projeto Água Branca;Lajes Corporativas;COINVALORES CCVM;267;90,3;0,0;7,67;0,6;1,40;13,0
HGRE11;CSHG Real Estate;Lajes Corporativas;CREDIT SUISSE;139,51;97,0;0,4;5,7;0,8;0,96;17,5
MBRF11;Mercantil do Brasil;Lajes Corporativas;RIO BRAVO;819,57;75,4;0,0;11,77;0,7;3,69;8,5
ONEF11;The One;Lajes Corporativas;RIO BRAVO;141,83;99,0;0,0;5,34;0,9;0,99;18,7
PRSV11;Presidente Vargas;Lajes Corporativas;HEDGE INVESTMENTS;149,96;92,2;0,0;7,94;0,6;5,28;12,6
RNGO11;Rio Negro;Lajes Corporativas;RIO BRAVO;63,99;92,8;0,0;8,19;0,6;1,50;12,2
SPTW11;SP Downtown;Lajes Corporativas;GENIAL INVESTIMENTOS;77,36;103,5;0,0;11,71;1,1;5,47;8,5
VLOL11;Vila Olímpia Corporate;Lajes Corporativas;OLIVEIRA TRUST;102,5;100,9;0,0;5,17;1,1;1,12;19,3
XPCM11;XP Corporate Macaé;Lajes Corporativas;RIO BRAVO;40,52;82,0;0,1;25,45;0,6;4,80;3,9
XTED11;TRX Edifícios Corporativos;Lajes Corporativas;BTG PACTUAL;6,94;93,5;0,0;0;0,5;0,88;Inf
RBRP11;RBR Properties FII;Lajes Corporativas;BRL TRUST;90,89;105,4;0,3;6,73;1,0;0,73;14,9
TBOF11;TB Office;Lajes Corporativas;BTG PACTUAL;13,5;110,8;0,0;49,68;91,5;74,86;2,0
CBOP11;Castello Branco Office Park;Lajes Corporativas;CREDIT SUISSE;74,6;102,8;0,0;7,86;0,8;0,85;12,7
FPNG11;Pedra Negra Renda Imobiliária;Lajes Corporativas;BR-CAPITAL DTVM;100;NA;0,0;0;NA;1,03;Inf
ALMI11;Torre Almirante;Lajes Corporativas;BTG PACTUAL;1134,99;91,4;0,0;0;0,6;2,35;Inf
CNES11;Cenesp;Lajes Corporativas;BTG PACTUAL;45,5;74,1;0,0;6,47;0,5;5,49;15,5
EDGA11;Edifício Galeria;Lajes Corporativas;BTG PACTUAL;26,44;88,1;0,0;6,46;0,3;0,55;15,5
TRNT11;Torre Norte;Lajes Corporativas;BTG PACTUAL;192,37;106,9;0,0;2,91;0,9;0,28;34,4
CEOC11;CEO Cyrela Commercial Properties;Lajes Corporativas;BTG PACTUAL;71,3;96,0;0,0;8,18;0,8;2,08;12,2
THRA11;BM Cyrela Thera Corporate;Lajes Corporativas;BTG PACTUAL;134,5;102,1;0,0;4,87;1,2;1,48;20,5
FISC11;SC 401;Lajes Corporativas;BR-CAPITAL DTVM;165;NA;0,0;0,31;1,1;0,25;322,6
RECT11;REC Renda Imobiliária;Lajes Corporativas;BRL TRUST;85,95;94,9;0,2;10,57;0,9;3,62;9,5
HGPO11;CSHG Prime Offices;Lajes Corporativas;CREDIT SUISSE;216,5;101,7;0,1;5,17;0,9;0,32;19,3
GTWR11;Green Towers;Lajes Corporativas;VOTORANTIM ASSET;105,74;96,7;0,2;7,78;1,1;0,36;12,9
ERPA11;EUROPA 105;Lajes Corporativas;OLIVEIRA TRUST;134,41;NA;0,0;0;1,3;0,62;Inf
RBCO11;RB Capital Office Income;Lajes Corporativas;BRL TRUST;71,1;86,9;0,0;8,33;0,7;4,15;12,0
RCRB11;Rio Bravo Renda Corporativa;Lajes Corporativas;RIO BRAVO;155,5;94,5;0,1;6,79;0,8;3,92;14,7
VINO11;Vinci Offices;Lajes Corporativas;BRL TRUST;60,52;105,0;0,2;7,51;1,0;3,17;13,3
VVPR11;V2 Properties;Lajes Corporativas;BTG PACTUAL;101;102,8;0,0;7,13;1,0;18,95;14,0
BREV11;Brazil Real Estate Victory Fund I;Lajes Corporativas;BR-CAPITAL DTVM;107,7;NA;0,0;4,01;1,0;2,67;24,9
NEWU11;Newport Renda Urbana;Lajes Corporativas;PLURAL S.A.;39;87,9;0,0;0,28;0,6;3,59;357,1
BLMO11;Bluemacaw Office Fund II;Lajes Corporativas;BRL TRUST;26662,53;NA;0,0;0;1,0;11,05;Inf
TEPP11;Tellus Properties;Lajes Corporativas;BRL TRUST;82,21;94,9;0,0;7,22;0,9;4,48;13,9
HBRH11;Multi Renda Urbana;Lajes Corporativas;BRL TRUST;103,2;107,7;0,0;7,86;0,9;0,73;12,7
FATN11;ATHENA I;Lajes Corporativas;BR-CAPITAL DTVM;102,49;NA;0,0;3,53;1,0;0,54;28,3
PVBI11;VBI Prime Properties;Lajes Corporativas;BTG PACTUAL;96,14;NA;0,2;2,98;1,0;14,59;33,6
RMAI11;REAG Multi Ativos Imobiliários;Lajes Corporativas;REAG DISTRIBUIDORA;43,07;NA;0,0;0;0,0;0,72;Inf
AIEC11;Autonomy Edifícios Corporativos;Lajes Corporativas;MODAL D.T.V.M.;89,02;NA;0,0;3,16;0,9;4,25;31,6
CJCT11;Cidade Jardim Continental Tower;Lajes Corporativas;HEDGE INVESTMENTS;61,4;NA;0,0;0;0,9;1,37;Inf
BMLC11;BM Brascan Lajes Corporativas;Lajes Corporativas;BTG PACTUAL;93,99;NA;0,0;6,86;0,9;2,48;14,6
HAAA11;Hedge AAA ;Lajes Corporativas;HEDGE INVESTMENTS;105;NA;0,0;2,07;1,1;1,18;48,3
JSRE11;JS Real Estate Multigestão;Misto;BANCO J.;90,5;95,5;0,2;6,48;0,8;1,45;15,4
KNRI11;Kinea Renda Imobiliária;Misto;INTRAG DTVM;146,21;93,1;0,5;5,39;0,9;1,10;18,6
HGRU11;CSHG Renda Urbana;Misto;CREDIT SUISSE;124;100,7;0,6;6,65;1,1;1,59;15,0
BZLI11;BRAZIL REALTY;Misto;"&#xCD;NDIGO INVESTIMENTOS";13,96;92,8;0,0;0;1,2;0,46;Inf
ALZR11;Alianza Trust Renda Imobiliária;Misto;BTG PACTUAL;121,74;97,6;0,2;5,05;1,2;1,72;19,8
SARE11;Santander Renda de Aluguéis;Misto;SANTANDER SECURITIES;96,27;103,5;0,0;3,77;1,0;1,86;26,5
URPR11;Urca Prime Renda;Misto;VORTX DISTRIBUIDORA;126,6;NA;0,1;15,09;1,2;2,35;6,6
HSRE11;HSI Renda Imobiliária;Misto;BRL TRUST;87,25;NA;0,0;1,24;0,9;1,80;80,6
EVBI11;VBI Consumo Essencial;Misto;BRL TRUST;105,2;NA;0,0;0,58;1,1;2,92;172,4
SEQR11;Sequóia III Renda Imobiliária;Misto;VORTX DISTRIBUIDORA;88,5;NA;0,0;0,75;0,9;4,00;133,3
HGCR11;CSHG Recebíveis Imobiliários;Papeis;CREDIT SUISSE;108;108,6;0,2;6,19;1,0;6,40;16,2
KNCR11;Kinea Rendimentos Imobiliários FII;Papeis;INTRAG DTVM;93,52;106,9;0,2;4,01;1,0;8,78;24,9
MXRF11;Maxi Renda;Papeis;BTG PACTUAL;10,3;101,9;0,1;8,25;1,0;4,43;12,1
PLRI11;Polo;Papeis;OLIVEIRA TRUST;45,68;124,9;0,0;6,4;0,8;2,80;15,6
PORD11;Polo CRI II;Papeis;OLIVEIRA TRUST;102,5;107,2;0,0;9,67;1,0;3,99;10,3
RBVO11;Rio Bravo Crédito Imobiliário II;Papeis;RIO BRAVO;14,79;103,1;0,0;7,19;0,7;1,96;13,9
RNDP11;Fundo BB Renda de Papéis;Papeis;VOTORANTIM ASSET;819,79;110,1;0,0;5,01;0,9;17,99;20,0
VRTA11;Fator Verità;Papeis;BANCO FATOR;114,2;109,0;0,2;7,92;1,1;32,62;12,6
KNHY11;Kinea High Yield CRI;Papeis;INTRAG DTVM;114;108,2;0,0;8,22;1,1;3,47;12,2
RDPD11;Fundo BB Renda de Papéis II;Papeis;VOTORANTIM ASSET;82,32;103,6;0,0;5,38;0,8;27,65;18,6
VOTS11;Votorantim Securities Master;Papeis;VOTORANTIM ASSET;83;104,9;0,0;4,82;0,8;27,32;20,7
RBRR11;RBR Rendimentos High Grade;Papeis;BTG PACTUAL;98,45;104,6;0,2;6,63;1,0;9,20;15,1
VGIR11;VALORA RE III;Papeis;BTG PACTUAL;94;112,9;0,1;5,85;1,0;2,15;17,1
NPAR11;NESTPAR;Papeis;PLANNER TRUSTEE;140,05;NA;0,0;0;1,1;0,02;Inf
BCRI11;Banestes Recebíveis Imobiliários;Papeis;BRL TRUST;113,49;109,2;0,1;9,23;1,1;4,65;10,8
KNIP11;Kinea Índices de Preços;Papeis;INTRAG DTVM;114,09;107,7;0,3;8,79;1,1;15,97;11,4
FISD11;São Domingos;Papeis;RJI CORRETORA;203,32;NA;0,0;0;NA;0,00;Inf
FEXC11;BTG Pactual Fundo de CRI;Papeis;BTG PACTUAL;93,64;99,2;0,0;8,87;1,0;13,19;11,3
NCHB11;NCH Brasil Recebíveis Imobiliários;Papeis;BTG PACTUAL;99,49;NA;0,0;11,66;1,1;28,52;8,6
OUJP11;Ourinvest JPP;Papeis;FINAXIS CORRETORA;105,35;107,1;0,1;7,37;1,0;5,80;13,6
REIT11;SOCOPA FII;Papeis;SOCOPA SOCIEDADE;1102,01;NA;0,0;6,66;0,9;13,55;15,0
IRDM11;Iridium Recebíveis Imobiliários;Papeis;BTG PACTUAL;135,49;128,0;0,5;9,53;1,4;4,12;10,5
BTCR11;BTG Pactual Crédito Imobiliário;Papeis;BTG PACTUAL;89,27;106,1;0,0;6,07;0,9;7,90;16,5
RBRY11;RBR Crédito Imobiliário Estruturado;Papeis;BTG PACTUAL;105,45;107,5;0,0;7,82;1,0;23,66;12,8
BARI11;Barigui Rendimentos;Papeis;OLIVEIRA TRUST;113,78;114,5;0,1;11,42;1,1;48,42;8,8
HCTR11;HECTARE CE;Papeis;VORTX DISTRIBUIDORA;145,05;128,1;0,3;14,89;1,2;28,95;6,7
HABT11;Habitat Recebíveis Pulverizados;Papeis;VORTX DISTRIBUIDORA;118,42;111,4;0,1;10,91;1,2;13,91;9,2
SADI11;Santander Papéis Imobiliários CDI;Papeis;SANTANDER SECURITIES;79,48;102,3;0,0;3,3;0,8;12,53;30,3
CVBI11;VBI CRI;Papeis;BRL TRUST;107;118,2;0,1;10,45;1,1;62,48;9,6
ARRI11;Átrio Reit Recebíveis Imobiliários;Papeis;OLIVEIRA TRUST;96,31;116,8;0,0;8,42;1,0;2,98;11,9
PLCR11;Plural Recebíveis Imobiliários;Papeis;PLURAL S.A.;93,71;114,3;0,1;6,25;1,0;10,36;16,0
JPPA11;JPP Allocaton Mogno;Papeis;VORTX DISTRIBUIDORA;98,4;103,6;0,0;8,48;1,0;0,46;11,8
MCCI11;Mauá Capital Recebíveis Imobiliários;Papeis;BTG PACTUAL;103,5;106,6;0,2;7,01;1,0;16,79;14,3
XPCI11;XP Crédito;Papeis;VORTX DISTRIBUIDORA;94,99;109,9;0,1;8,06;1,0;7,16;12,4
BICR11;Inter Títulos Imobiliários;Papeis;INTER DISTRIBUIDORA;92,71;94,7;0,0;3,37;0,9;8,72;29,7
RBIV11;Rio Bravo Crédito Imobiliário IV;Papeis;BRL TRUST;82,21;103,3;0,0;7,17;0,8;4,39;13,9
VGIP11;Valora CRI Índice de Preço;Papeis;BTG PACTUAL;112,51;116,5;0,1;9,64;1,2;4,38;10,4
AFCR11;AF Invest Recebíveis Imobiliários;Papeis;CM CAPITAL;117,61;NA;0,0;7,68;1,2;22,50;13,0
CPTS11;Capitânia Securities II;Papeis;BTG PACTUAL;100,59;NA;0,3;9,83;1,1;5,97;10,2
VSEC11;Votorantim Securities;Papeis;VOTORANTIM ASSET;93,5;NA;0,0;3,99;0,9;3,76;25,1
LFTT11;LOFT II;Papeis;MODAL D.T.V.M.;102;NA;0,0;3,24;1,8;6,64;30,9
RECR11;REC Recebíveis Imobiliários;Papeis;BRL TRUST;105,8;113,1;0,2;11,72;1,1;25,15;8,5
HSAF11;HSI Ativos Financeiros;Papeis;BRL TRUST;95,95;NA;0,0;3,29;1,0;2,53;30,4
MGCR11;Mogno CRIs High Grade;Papeis;BTG PACTUAL;103,27;NA;0,0;3;1,1;2,89;33,3
